consignmentId,consignmentNumber,series,manufacturer,bestBeforeDate,receiptDate,count
cb23b708-4f6e-4559-9b13-c5f6ce6b6a72,277,9010091,Пауль Хартманн АГ,01.09.27,24.11.22,2.000
ab82d4b3-5051-4cec-8fee-cad45559b620,278,9010091,Пауль Хартманн АГ,01.09.27,09.12.22,43.000
66b00773-7066-4c75-8ae4-00051af17039,279,9010091,Пауль Хартманн АГ,01.11.27,23.12.22,58.000
db44ca2d-6ca7-4a49-a600-bee33c610a6b,271,9008935,Пауль Хартманн АГ,01.05.27,19.08.22,86.000
7a62b3a7-f58c-416d-a3d8-d589a8632cb1,273,9008935,Пауль Хартманн АГ,01.05.27,01.09.22,137.000
84f538ad-ea1e-4557-a2b6-ce2948cca1f8,274,9008935,Пауль Хартманн АГ,01.07.27,15.09.22,133.000
b873e0d3-5436-4d01-bb4d-4412805b2e9f,275,9008935,Пауль Хартманн АГ,01.07.27,27.10.22,85.000
bc88b665-ebb4-408f-9a1a-6f917e278a30,276,9008935,Пауль Хартманн АГ,01.10.27,09.12.22,28.000
498ab182-7ab7-400b-8c7e-67f7599a6f2f,260,9010191,Пауль Хартманн АГ,01.06.27,15.09.22,7.000
b7f1a5b5-1497-4975-b9ac-99369df609b0,262,9010191,Пауль Хартманн АГ,01.06.27,10.11.22,51.000
771c2537-a6ce-48a2-bfeb-350ceda9c310,4,9010300,Пауль Хартманн АГ,01.10.26,24.11.22,48.000
02f1865f-8727-48ff-89a0-9a75e3586a31,5,9010300,Пауль Хартманн АГ,01.06.27,09.12.22,49.000
966cbe36-d098-4aef-9805-e9c6d84cb333,6,9010300,Пауль Хартманн АГ,01.06.27,23.12.22,50.000
a5fd420c-ea95-4441-bb25-7515f4f336a0,26,9010330,Пауль Хартманн АГ,01.12.26,09.12.22,35.000
a38a97c5-101f-4092-a737-1ac86f74d1c5,557,9010211,Пауль Хартманн АГ,01.09.27,09.12.22,41.000
7f0069f4-63f5-459b-9742-c68856d57bd8,27,9010330,Пауль Хартманн АГ,01.07.27,23.12.22,82.000
4dfe3dc2-e950-4c87-bbfa-6f3db4a2514b,340,9008911,Пауль Хартманн АГ,01.10.27,24.11.22,34.000
74e585d7-b013-4ead-afc5-a96b767cb6eb,341,9008911,Пауль Хартманн АГ,01.11.27,23.12.22,62.000
b7183d1b-c0ae-4cff-a2a7-b7c2ecf681be,272,9010070,Пауль Хартманн АГ,01.04.25,01.09.22,134.000
6220c32c-1de2-4aa8-af1a-8105b1bc0dab,273,9010070,Пауль Хартманн АГ,01.04.25,15.09.22,98.000
e98382d5-eeed-4fb1-a913-fd1ff7e5ca33,46,9010280,Пауль Хартманн АГ,31.01.27,24.11.22,93.000
fca019ee-d28f-4261-a02e-7983d3366dd9,526,9010081,Пауль Хартманн АГ,01.08.27,09.12.22,31.000
ff5300d7-cae0-4721-8aa9-694e74c26c82,527,9010081,Пауль Хартманн АГ,01.10.27,23.12.22,78.000
d429212a-d21b-45e0-9fba-dfb4a73aae23,251,5351235,Пауль Хартманн АГ,01.03.25,01.09.22,37.000
7d4ac446-81a4-498d-b3fd-48f39849847a,252,5351235,Пауль Хартманн АГ,01.03.25,15.09.22,115.000
c3e0207e-d74f-4c48-92a9-e8d9ce2f0e6c,254,5351235,Пауль Хартманн АГ,01.03.25,27.10.22,173.000
380e70e6-fd3e-4a3d-9daf-0a269adbd0a4,255,5351235,Пауль Хартманн АГ,01.03.25,23.12.22,150.000
82f5dac2-f22b-4c53-acf1-27fa91d7933d,214,5351335,Пауль Хартманн АГ,01.01.26,01.09.22,216.000
b504c082-58fd-41dc-b8f8-a4edb628cef7,215,5351335,Пауль Хартманн АГ,01.01.26,15.09.22,67.000
3cdf726e-ec17-44c1-9422-b6a3adce74e9,217,5351335,Пауль Хартманн АГ,01.01.26,23.12.22,127.000
84c10f9e-3c2c-4e43-993a-04663ea42ed4,83,5351035,Пауль Хартманн АГ,01.03.26,07.07.22,21.000
c9cd9da4-1a7f-447c-b0fc-f48b05e906f2,85,5351035,Пауль Хартманн АГ,01.04.25,04.08.22,59.000
409d03ac-f111-425a-9c65-9528c86f2c60,385,9158724,Пауль Хартманн АГ,01.05.27,23.12.22,30.000
47a949c0-b439-4317-9dc7-9dcb37200aff,312,9006013,Пауль Хартманн АГ,01.10.27,19.08.22,35.000
a1524f2a-15b3-480a-8c9c-cb86fd8da65c,318,9006013,Пауль Хартманн АГ,01.08.27,24.11.22,44.000
38e8944a-2664-4cf9-b283-5a29cef110a2,319,9006013,Пауль Хартманн АГ,01.10.27,23.12.22,35.000
8242089f-83f9-423e-bdc4-bbba88208b54,83,9006641,Пауль Хартманн АГ,01.05.27,19.08.22,2.000
a0f5fdb5-afa7-4dd2-841d-d67455784078,85,9006641,Пауль Хартманн АГ,01.05.27,01.09.22,35.000
9c43c7db-f58e-4744-9826-8f431a2dcff0,87,9006641,Пауль Хартманн АГ,01.08.27,14.10.22,36.000
823bb8ff-1c6d-4dbd-8a9a-a28735729723,88,9006641,Пауль Хартманн АГ,01.05.27,09.12.22,59.000
05f37455-207b-4ae0-ad41-815647d191ea,89,9006641,Пауль Хартманн АГ,01.09.27,23.12.22,38.000
6e31d08a-899a-4753-9957-5906ded8476e,63,9006741,Пауль Хартманн АГ,01.10.27,24.11.22,27.000
421886b3-0467-4d38-9caa-840d3567493e,64,9006741,Пауль Хартманн АГ,01.10.27,23.12.22,55.000
f2616061-c3d4-4bf2-a401-9f8a76349d1c,101,9005241,Пауль Хартманн АГ,01.10.27,23.12.22,19.000
be4b3d56-a6ae-49f4-b6bb-aa2b7268cc6d,84,9005341,Пауль Хартманн АГ,01.02.27,01.09.22,4.000
9f9cfbc5-be2b-4be6-a7be-1e5eae5e6461,85,9005341,Пауль Хартманн АГ,01.02.27,15.09.22,26.000
d0507598-6116-4f85-a3f4-c360bc22292b,86,9005341,Пауль Хартманн АГ,01.08.27,14.10.22,21.000
0f4e1f9a-9ef5-405f-a03d-49e36c51687b,87,9005341,Пауль Хартманн АГ,01.02.27,09.12.22,29.000
f95470d4-c642-48b6-b9b5-4ab2864689a0,88,9005341,Пауль Хартманн АГ,01.09.27,23.12.22,46.000
2b666fe7-f34b-4f94-8d69-e61c4bbca957,4,3000130,Пауль Хартманн АГ,01.11.24,19.08.22,23.000
d98540f1-1c33-4b11-8067-be6740ac5368,279,9324842,Пауль Хартманн АГ,01.07.25,09.12.22,292.000
a2d6cb61-db4d-4e71-8aa2-dd960be22dad,158,9324882,Пауль Хартманн АГ,01.08.25,24.11.22,2.000
ebe194f5-4a5c-4767-b346-247794246c01,159,9324882,Пауль Хартманн АГ,01.08.25,09.12.22,12.000
fc8da6e7-7f51-4f62-85f8-0f65d10d150d,160,9324882,Пауль Хартманн АГ,01.09.25,23.12.22,15.000
6f4c12bc-2a64-487c-816c-323bbd9e51e8,234,9324852,Пауль Хартманн АГ,01.08.25,09.12.22,156.000
29bd51ad-3058-4090-baf6-44c31bab5305,235,9324852,Пауль Хартманн АГ,01.10.25,23.12.22,241.000
d797f525-8a12-4a00-bc70-7877d6ea3642,103,9324892,Пауль Хартманн АГ,01.03.25,19.08.22,10.000
023c969c-2be9-48a7-ba60-2db43164e67b,105,9324892,Пауль Хартманн АГ,01.03.25,01.09.22,8.000
cd725ce0-52c2-418d-b53a-f042dbc6b116,106,9324892,Пауль Хартманн АГ,01.03.25,15.09.22,10.000
5d784d26-4342-4c67-b800-522826fe3868,107,9324892,Пауль Хартманн АГ,01.03.25,29.09.22,6.000
7b2e1259-5d2a-4235-9391-c52cb6581390,108,9324892,Пауль Хартманн АГ,01.03.25,27.10.22,15.000
9e50d62f-2143-4fe3-9d13-28b94ad1fa04,140,9324692,Пауль Хартманн АГ,01.04.25,07.07.22,1.000
d26110ce-1404-4d2b-bba6-a9f42612eb97,148,9324692,Пауль Хартманн АГ,01.04.25,24.11.22,12.000
f068df8b-1092-43da-835d-16ef788a96f7,149,9324692,Пауль Хартманн АГ,01.03.25,23.12.22,5.000
fe2f6630-f52b-466a-a045-d4a38d6599a5,181,9324862,Пауль Хартманн АГ,01.08.25,14.10.22,77.000
830b8c93-1c9e-4c24-9321-bb522d4973da,183,9324862,Пауль Хартманн АГ,01.08.25,23.12.22,117.000
ca44ad1a-7e1c-428a-92f3-64f24aff84cc,68,9324902,Пауль Хартманн АГ,01.07.24,09.06.22,16.000
96fffae0-6710-4360-8cca-f01f4cf1ba33,122,9324702,Пауль Хартманн АГ,01.08.25,15.09.22,1.000
703e35bb-d2df-4b49-9d22-1c90c2202a76,123,9324702,Пауль Хартманн АГ,01.07.24,27.10.22,11.000
e870b999-2f12-450e-97d4-f631eb4164c5,128,9324872,Пауль Хартманн АГ,01.05.24,01.09.22,9.000
13f80ada-81d3-4fae-9b4c-166a2e5571cf,129,9324872,Пауль Хартманн АГ,01.05.24,15.09.22,14.000
6ca20fbe-a3fb-4de1-abb3-56aab54e9554,130,9324872,Пауль Хартманн АГ,01.05.24,29.09.22,16.000
75b12637-ce82-436b-82d5-3e07ded614a3,131,9324872,Пауль Хартманн АГ,01.05.24,27.10.22,12.000
3d00aa47-3390-4ded-bda4-df1e4b6ac627,108,9324672,Пауль Хартманн АГ,01.11.24,07.07.22,5.000
41248211-d72c-4f9e-a4d6-ed8aeef8f534,111,9324672,Пауль Хартманн АГ,01.07.25,01.09.22,8.000
b3c4caae-f7c6-48b9-815e-6baf59d07fe9,112,9324672,Пауль Хартманн АГ,01.02.25,15.09.22,7.000
cbede78f-5afc-4588-a5bf-460a701dd34c,113,9324672,Пауль Хартманн АГ,01.02.25,29.09.22,8.000
c0b4974b-130f-4ab8-a25f-455bd7306036,115,9324672,Пауль Хартманн АГ,01.07.25,24.11.22,10.000
76934386-343b-4ebd-9e42-429a66181ad4,201,9324833,Пауль Хартманн АГ,01.09.25,23.12.22,38.000
0f75a49e-17b9-43ef-9c18-faa4d3cf6b88,344,A9045,Реплекфарм АО,01.05.23,16.10.20,-134.000
c958e20e-e63e-4725-939f-0e8fa00fdb63,344,A9045,Реплекфарм АО,01.05.23,22.10.20,134.000
