nomenculatureId;nomenculatureCode;nomenculatureName;consignmentId
28057ec9-0295-4e97-811f-6af4f7af98bf;N-93590;COSMOPOR E - Самоклеящиеся послеоперац повязки 10 х 6см №25;cb23b708-4f6e-4559-9b13-c5f6ce6b6a72
c8d9f388-c81e-465d-aa69-b13b77c7e959;N-93590;COSMOPOR E - Самоклеящиеся послеоперац повязки 10 х 6см №25;ab82d4b3-5051-4cec-8fee-cad45559b620
bb7e1375-eac8-4b6d-9b37-b50b0bd33348;N-93590;COSMOPOR E - Самоклеящиеся послеоперац повязки 10 х 6см №25;66b00773-7066-4c75-8ae4-00051af17039
7347e7f8-358b-4ef5-94e4-96fdcc94f4c6;N-90858;COSMOPOR E - Самоклеящиеся послеоперац повязки 10 х 8см №10;db44ca2d-6ca7-4a49-a600-bee33c610a6b
178d0bb2-7b17-46c8-8c6c-36bd0c3b2fc9;N-90858;COSMOPOR E - Самоклеящиеся послеоперац повязки 10 х 8см №10;7a62b3a7-f58c-416d-a3d8-d589a8632cb1
70d47cac-458e-4178-a619-5a7dd4bcc768;N-90858;COSMOPOR E - Самоклеящиеся послеоперац повязки 10 х 8см №10;84f538ad-ea1e-4557-a2b6-ce2948cca1f8
b3240310-325a-4003-a00e-373e19fe1a26;N-90858;COSMOPOR E - Самоклеящиеся послеоперац повязки 10 х 8см №10;b873e0d3-5436-4d01-bb4d-4412805b2e9f
69064fc8-04a0-487d-afb1-01b0f73bdb95;N-90858;COSMOPOR E - Самоклеящиеся послеоперац повязки 10 х 8см №10;bc88b665-ebb4-408f-9a1a-6f917e278a30
9d962a32-a688-4e43-8f34-7b701f83bb36;9008720;COSMOPOR E - Самоклеящиеся послеоперац повязки 15 х 6см №25;498ab182-7ab7-400b-8c7e-67f7599a6f2f
79242704-9f7e-4d79-98bb-7fcfe5000596;9008720;COSMOPOR E - Самоклеящиеся послеоперац повязки 15 х 6см №25;b7f1a5b5-1497-4975-b9ac-99369df609b0
678669a2-0a05-4a1f-bb61-bfc9164f5325;ms002615;COSMOPOR E - Самоклеящиеся послеоперац повязки 15 х 6см №25;771c2537-a6ce-48a2-bfeb-350ceda9c310
fc77becd-1e0c-45a6-b374-80aa0f29a4ff;ms002615;COSMOPOR E - Самоклеящиеся послеоперац повязки 15 х 6см №25;02f1865f-8727-48ff-89a0-9a75e3586a31
cb0d1db2-4db2-4a9b-b461-55c427795a18;ms002615;COSMOPOR E - Самоклеящиеся послеоперац повязки 15 х 6см №25;966cbe36-d098-4aef-9805-e9c6d84cb333
ba5abeb2-9262-4b57-9447-a285a38cbf5e;ТП-09117;COSMOPOR E - Самоклеящиеся послеоперац повязки 15 х 8см №25;a5fd420c-ea95-4441-bb25-7515f4f336a0
ad61d8f3-262c-4410-883b-60ab065144e0;9008740;COSMOPOR E - Самоклеящиеся послеоперац повязки 15 х 8см №25;a38a97c5-101f-4092-a737-1ac86f74d1c5
24dc7570-f666-4676-afe2-ee1eebe5630c;ТП-09117;COSMOPOR E - Самоклеящиеся послеоперац повязки 15 х 8см №25;7f0069f4-63f5-459b-9742-c68856d57bd8
cd5a385a-09bc-44f0-9440-50cbfabae3f1;N-90857;COSMOPOR E - Самоклеящиеся послеоперац повязки 7,2 х 5см №10;4dfe3dc2-e950-4c87-bbfa-6f3db4a2514b
cca2222a-00b6-45ac-a5c3-e7c40125d3ce;N-90857;COSMOPOR E - Самоклеящиеся послеоперац повязки 7,2 х 5см №10;74e585d7-b013-4ead-afc5-a96b767cb6eb
416d34f9-e76c-44f8-b102-a0b7340e621b;N-92886;COSMOPOR E - Самоклеящиеся послеоперац повязки 7,2 х 5см №5;b7183d1b-c0ae-4cff-a2a7-b7c2ecf681be
68b199cb-b721-47fc-beae-c495a621ad4a;N-92886;COSMOPOR E - Самоклеящиеся послеоперац повязки 7,2 х 5см №5;6220c32c-1de2-4aa8-af1a-8105b1bc0dab
67959c14-67c4-4c10-aa2c-1f6e61791041;ТП-08527;COSMOPOR E - Самоклеящиеся послеоперац повязки 7,2 х 5см №50;e98382d5-eeed-4fb1-a913-fd1ff7e5ca33
64f4956d-4d1f-4554-b5fb-6ad76f89e1a2;N-93532;COSMOPOR E - Самоклеящиеся послеоперац повязки 7,2 х 5см №50;fca019ee-d28f-4261-a02e-7983d3366dd9
6575bb65-c309-41d8-8ebb-ffd05a87556d;N-93532;COSMOPOR E - Самоклеящиеся послеоперац повязки 7,2 х 5см №50;ff5300d7-cae0-4721-8aa9-694e74c26c82
09e95ed5-3151-464d-8d61-2e47236e14e4;5351231;COSMOS Water-resistant - Пластырь водоотталкивающий 2-х разм №20;d429212a-d21b-45e0-9fba-dfb4a73aae23
